key,name,i-a-t-a-code,website,type,foundation,email,phone-number
airline-32,Lorem ipsum dolor sit ame,GFE,http://lorem.com/ipsum,LOW_COST,2012/07/02 0:00,acme@lorem-ipsum.org,78657687
# type - no singular values
# foundation - standard variations
airline-33,Lorem ipsum dolor sit ame,HGF,http://lorem.com/ipsum,STANDARD,2000/01/01 0:00,acme@lorem-ipsum.org,78657687
airline-34,Lorem ipsum dolor sit ame,IHG,http://lorem.com/ipsum,STANDARD,2000/01/01 0:01,acme@lorem-ipsum.org,78657687
airline-35,Lorem ipsum dolor sit ame,JIH,http://lorem.com/ipsum,STANDARD,2024/12/31 23:59,acme@lorem-ipsum.org,78657687
airline-36,Lorem ipsum dolor sit ame,KJI,http://lorem.com/ipsum,STANDARD,2025/01/01 0:00,acme@lorem-ipsum.org,78657687
# foundation - singular values
airline-37,Lorem ipsum dolor sit ame,LKJ,http://lorem.com/ipsum,STANDARD,2004/02/29 0:00,acme@lorem-ipsum.org,78657687
airline-38,Lorem ipsum dolor sit ame,MLK,http://lorem.com/ipsum,STANDARD,2005/02/28 0:00,acme@lorem-ipsum.org,78657687
# email -standard variations
airline-39,Lorem ipsum dolor sit ame,NML,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,null,78657687
airline-40,Lorem ipsum dolor sit ame,PON,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,a@b.e,78657687
airline-41,Lorem ipsum dolor sit ame,QPO,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,a@b.es,78657687
airline-42,Lorem ipsum dolor sit ame,RQP,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,a@b.esx,78657687
airline-43,Lorem ipsum dolor sit ame,SRQ,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,78657687
airline-44,Lorem ipsum dolor sit ame,TSR,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,78657687
# email - no singular values
# phone-number - standard variations
airline-45,Lorem ipsum dolor sit ame,UTS,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,null
airline-46,Lorem ipsum dolor sit ame,VUT,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456
airline-47,Lorem ipsum dolor sit ame,WVU,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+654321
airline-48,Lorem ipsum dolor sit ame,XWT,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,1237654
airline-49,Lorem ipsum dolor sit ame,YXW,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+7809267
airline-50,Lorem ipsum dolor sit ame,ZYX,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,12345678
airline-51,Lorem ipsum dolor sit ame,AZY,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+90863782
airline-52,Lorem ipsum dolor sit ame,BAZ,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,111111111
airline-53,Lorem ipsum dolor sit ame,ABA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+000000000
airline-54,Lorem ipsum dolor sit ame,ACA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,1010104444
airline-55,Lorem ipsum dolor sit ame,ADA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+1111122222
airline-56,Lorem ipsum dolor sit ame,AEA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,99999999999
airline-57,Lorem ipsum dolor sit ame,AFA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+11223344556
airline-58,Lorem ipsum dolor sit ame,AGA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,145627129373
airline-59,Lorem ipsum dolor sit ame,AHA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+998877665544
airline-60,Lorem ipsum dolor sit ame,AIA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,5673492873828
airline-61,Lorem ipsum dolor sit ame,AJA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+9999999999999
airline-62,Lorem ipsum dolor sit ame,AKA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,99999999999999
airline-63,Lorem ipsum dolor sit ame,ALA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+89767264738338
airline-64,Lorem ipsum dolor sit ame,AMA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,012345678912345
airline-65,Lorem ipsum dolor sit ame,ANA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+987654321098765
# phone-number - no singular values
